"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"Guava Island","Prime Video",": Season 1",,75,7.2,"Drama","Movie/Mini-Series","April 13, 2019",58
"Game of Thrones","HBO",": Season 8",,90,,"Drama","Action & Adventure","April 14, 2019",1481
"Les Miserables (2019)","PBS",": Season 1",,90,6.9,"Drama","Movie/Mini-Series","April 14, 2019",43
"Cobra Kai","YouTube,YouTube Red",": Season 2",,83,7.5,"Comedy","Drama",,55
"Chambers","Netflix",": Season 1",45,85,,"Drama","Fantasy","April 26, 2019",32
"The Red Line","CBS",": Season 1",,82,,"Drama",,"April 28, 2019",32
"Dead to Me","Netflix",": Season 1",,80,7.5,"Comedy","Drama","May 3, 2019",56
"The Spanish Princess","Starz",": Season 1",,90,,"Drama",,"May 5, 2019",18
"Chernobyl","HBO",": Season 1",,91,9.3,"Drama","Movie/Mini-Series","May 6, 2019",357
"The Society","Netflix",": Season 1",,80,6.5,"Drama","Suspense","May 10, 2019",48
"L.A.'s Finest","Spectrum Originals",": Season 1",46,85,6.6,"Drama","Action & Adventure","May 13, 2019",19
"Blood & Treasure","CBS",": Season 1",52,70,,"Drama","Action & Adventure","May 21, 2019",15
"Catch-22 (2019)","HULU",": Season 1",,95,6.5,"Comedy","Drama","May 17, 2019",65
"Vida","Starz",": Season 2",,91,6.4,"Drama",,"May 23, 2019",12
"What/If","Netflix",": Season 1",58,83,,"Drama","Suspense","May 24, 2019",38
"The Hot Zone","National Geographic",": Season 1",,80,6.6,"Drama","Movie/Mini-Series","May 27, 2019",30
"Swamp Thing (2019)","DC Universe",": Season 1",,80,7.7,"Drama","Action & Adventure","May 31, 2019",56
"Deadwood: The Movie","HBO",": Season 1",,95,8.2,"Drama","Movie/Mini-Series","May 31, 2019",83
"When They See Us","Netflix",": Season 1",,90,7.4,"Drama","Movie/Mini-Series","May 31, 2019",124
"Perpetual Grace, LTD","Epix",": Season 1",,91,6.6,"Drama",,"June 2, 2019",11
"Good Omens","Prime Video",": Season 1",,91,7.8,"Comedy","Drama","May 31, 2019",84
"NOS4A2","AMC",": Season 1",47,70,,"Drama","Fantasy","June 2, 2019",23
"The Handmaid's Tale","HULU",": Season 3",,87,6.3,"Drama","Science Fiction","June 5, 2019",97
"Big Little Lies","HBO",": Season 2",,95,8.2,"Comedy","Drama","June 9, 2019",112
"Armistead Maupin's Tales of the City","Netflix",": Season 1",,83,6.5,"Drama","Movie/Mini-Series","June 7, 2019",26
"Pose","FX",": Season 2",,91,7.8,"Drama","Music","June 11, 2019",43
"Informer","Prime Video",": Season 1",,80,,"Drama","Action & Adventure","January 11, 2019",11
"Marvel's Jessica Jones","Netflix",": Season 3",,80,,"Drama","Action & Adventure","June 14, 2019",57
"Counterpart","Starz",": Season 2",,90,7,"Drama","Suspense","December 9, 2018",30
"New Amsterdam (2018)","NBC",": Season 1",47,70,,"Drama",,"September 25, 2018",53
"Sweetbitter","Starz",": Season 1",52,90,,"Drama",,"May 6, 2018",32
"Hard Sun","HULU",": Season 1",46,83,,"Drama",,"March 7, 2018",24
"Marvel's Jessica Jones","Netflix",": Season 2",,88,,"Drama","Action & Adventure","March 8, 2018",315
"Life Sentence","The CW",": Season 1",49,80,,"Comedy","Drama","March 7, 2018",27
"Collateral (2018)","Netflix",": Season 1",,80,7.1,"Drama","Movie/Mini-Series","March 9, 2018",38
"Sneaky Pete","Amazon Instant Video,Prime Video",": Season 2",,83,7.3,"Drama",,,29
"For The People","ABC",": Season 1",60,91,,"Drama",,"March 13, 2018",30
"Deception (2018)","ABC",": Season 1",51,70,7.7,"Drama",,"March 11, 2018",61
"Instinct","CBS",": Season 1",53,70,,"Drama","Action & Adventure","March 18, 2018",41
"Rise","NBC",": Season 1",59,83,6.5,"Drama",,"March 13, 2018",53
"Krypton","Syfy",": Season 1",53,80,,"Drama","Action & Adventure","March 21, 2018",87
"Station 19","ABC",": Season 1",55,80,,"Drama",,"March 22, 2018",32
"Billions","SHOWTIME",": Season 3",,85,6.7,"Drama",,"March 25, 2018",45
"Trust","FX",": Season 1",,80,7.1,"Drama",,"March 25, 2018",55
"The Terror","AMC",": Season 1",,91,7.8,"Drama",,"March 26, 2018",184
"The Americans","FX",": Season 6",,90,8.2,"Drama",,"March 28, 2018",171
"The Child in Time","PBS",": Season 1",,91,6.7,"Drama","Movie/Mini-Series","April 1, 2018",21
"The Crossing (2018)","ABC",": Season 1",59,83,,"Drama","Science Fiction","April 2, 2018",48
"Legion","FX",": Season 2",,91,7.4,"Drama","Action & Adventure","April 3, 2018",160
"National Treasure (2017)","Channel 4,HULU",": Season 2",,80,,"Drama",,,8
"Paterno","HBO",": Season 1",,91,,"Drama","Sports","April 7, 2018",43
"Killing Eve","BBC America",": Season 1",,90,7.8,"Drama","Action & Adventure","April 8, 2018",286
"Howards End","Starz",": Season 1",,90,,"Drama","Movie/Mini-Series","April 8, 2018",48
"Lost in Space (2018)","Netflix",": Season 1",58,83,,"Drama","Action & Adventure","April 13, 2018",362
"Westworld","HBO",": Season 2",,90,7,"Drama","Action & Adventure","April 22, 2018",347
"Rellik","Cinemax",": Season 1",51,75,,"Drama","Suspense","April 13, 2018",14
"The Handmaid's Tale","HULU",": Season 2",,83,7.4,"Drama","Science Fiction","April 25, 2018",199
"Cobra Kai","YouTube,YouTube Red",": Season 1",,83,8.1,"Comedy","Drama",,261
"The Rain","Netflix",": Season 1",,80,,"Drama","Horror","May 4, 2018",96
"Dear White People (2017)","Netflix",": Season 2",,90,,"Comedy","Drama","May 4, 2018",147
"Vida","Starz",": Season 1",,88,6.3,"Drama",,"May 6, 2018",41
"Patrick Melrose","SHOWTIME",": Season 1",,90,,"Drama","Movie/Mini-Series","May 12, 2018",198
"Safe (2018)","Netflix",": Season 1",,75,6.5,"Drama","Suspense","May 10, 2018",54
"13 Reasons Why","Netflix",": Season 2",49,83,,"Drama",,"May 18, 2018",285
"Little Women (2018)","PBS",": Season 1",,80,,"Drama","Movie/Mini-Series","May 13, 2018",29
"Picnic at Hanging Rock","Prime Video",": Season 1",,83,,"Drama","Movie/Mini-Series","May 25, 2018",35
"Reverie","NBC",": Season 1",42,83,,"Drama","Action & Adventure","May 30, 2018",27
"Pose","FX",": Season 1",,83,7.8,"Drama","Music","June 3, 2018",104
"C.B. Strike","Cinemax",": Season 1",59,91,6.1,"Drama",,"June 1, 2018",20
"Dietland","AMC",": Season 1",,88,,"Comedy","Drama","June 4, 2018",55
"Happy Valley","BBC,Netflix,BBC One",": Season 2",,91,8.1,"Drama","Suspense",,47
"Marvel's Cloak & Dagger","Freeform",": Season 1",,88,,"Drama","Action & Adventure","June 7, 2018",105
"Condor","Audience Network",": Season 1",,80,6.3,"Drama","Action & Adventure","June 6, 2018",32
"American Woman","Paramount Network",": Season 1",48,80,,"Comedy","Drama","June 7, 2018",32
"Strange Angel","CBS All Access",": Season 1",58,80,6.2,"Drama",,"June 14, 2018",21
"Man in an Orange Shirt","PBS",": Season 1",,80,,"Drama","Movie/Mini-Series","June 17, 2018",12
"Deep State","Epix",": Season 1",,80,,"Drama","Action & Adventure","June 17, 2018",20
"Yellowstone (2018)","Paramount Network",": Season 1",54,85,6.8,"Drama",,"June 20, 2018",89
"Marvel's Luke Cage","Netflix",": Season 2",,83,6.5,"Drama","Action & Adventure","June 22, 2018",156
"Take Two","ABC",": Season 1",53,70,6.9,"Drama","Action & Adventure","June 21, 2018",44
"The Outpost","The CW",": Season 1",,,,"Drama","Action & Adventure","July 10, 2018",39
"Sharp Objects","HBO",": Season 1",,90,6.9,"Drama","Movie/Mini-Series","July 8, 2018",264
"Snowfall","FX",": Season 2",,80,7.7,"Drama",,"July 19, 2018",14
"UnReal","LIFETIME,HULU",": Season 4",60,83,6.8,"Drama",,,16
"Castle Rock (2018)","HULU",": Season 1",,83,6.8,"Drama","Horror","July 25, 2018",139
"A Million Little Things","ABC",": Season 1",51,80,6.4,"Comedy","Drama","September 26, 2018",47
"Burden of Truth","The CW",": Season 1",,80,,"Drama",,"July 25, 2018",17
"Last Man Standing (2011)","ABC,FOX",": Season 7",58,70,6.7,"Comedy","Drama",,25
"King Lear","Prime Video",": Season 1",,90,6.9,"Drama","Movie/Mini-Series","September 28, 2018",15
"God Friended Me","CBS",": Season 1",57,75,6.1,"Comedy","Drama","September 30, 2018",58
"The Man in the High Castle","Amazon Prime,Prime Video,AMAZON",": Season 3",,75,7.3,"Drama",,,33
"Doctor Who","BBC-1,BBC,BBC America,BBC One",": Season 11",,88,,"Comedy","Drama",,441
"The Walking Dead","AMC",": Season 9",,91,7.1,"Drama","Action & Adventure","October 7, 2018",120
"All American","The CW",": Season 1",,83,7.9,"Drama","Sports","October 10, 2018",37
"The Haunting of Hill House","Netflix",": Season 1",,83,7.9,"Drama",,"October 12, 2018",419
"Titans (2018)","DC Universe",": Season 1",55,75,6.5,"Drama","Action & Adventure","October 12, 2018",272
"Charmed (2018)","The CW",": Season 1",55,80,,"Drama","Fantasy","October 14, 2018",158
"The Romanoffs","Prime Video",": Season 1",56,75,6.1,"Drama",,"October 12, 2018",58
"Marvel's Daredevil","Netflix",": Season 3",,84,8.8,"Drama","Action & Adventure","October 19, 2018",372
"The Rookie","ABC",": Season 1",,83,7.7,"Comedy","Drama","October 16, 2018",60
"Wanderlust (2018)","Netflix",": Season 1",,91,,"Drama",,"October 19, 2018",29
"My Dinner with Herve","HBO",": Season 1",,83,6.3,"Drama","Movie/Mini-Series","October 20, 2018",22
"Deutschland 86","SundanceTV",": Season 1",,80,6.8,"Drama","Action & Adventure","October 25, 2018",16
"Heathers (2018)","Paramount Network",": Season 1",40,91,,"Comedy","Drama","October 25, 2018",26
"Legacies","The CW,CW",": Season 1",59,83,6.8,"Drama","Action & Adventure",,36
"Channel Zero","Syfy",": Season 4",,83,7.1,"Drama","Horror","October 26, 2018",18
"Tell Me a Story","CBS All Access",": Season 1",43,80,,"Drama","Horror","October 31, 2018",25
"Chilling Adventures of Sabrina","Netflix",": Season 1",,83,6.1,"Drama","Fantasy","October 26, 2018",357
"Homecoming","Prime Video",": Season 1",,91,7,"Drama","Suspense","November 2, 2018",159
"House of Cards (2013)","Netflix",": Season 6",,88,,"Drama",,"November 2, 2018",197
"Outlander (2014)","Starz",": Season 4",,80,7.8,"Drama","Action & Adventure","November 4, 2018",28
"Patriot","Amazon Prime",": Season 2",,80,6.9,"Comedy","Drama","November 9, 2018",39
"Orange is the New Black","Netflix",": Season 6",,80,7,"Comedy","Drama","July 27, 2018",84
"Lodge 49","AMC",": Season 1",,80,7.4,"Comedy","Drama","August 6, 2018",44
"The Sinner","USA",": Season 2",,83,6.3,"Drama","Suspense","August 1, 2018",59
"Better Call Saul","AMC",": Season 4",,90,9,"Comedy","Drama","August 6, 2018",212
"Ordeal By Innocence","Prime Video",": Season 1",,80,,"Drama","Movie/Mini-Series","August 10, 2018",22
"Insatiable","Netflix",": Season 1",,80,7,"Comedy","Drama","August 10, 2018",228
"The Last Sharknado: It's About Time","Syfy",": Season 1",,,,"Drama","Movie/Mini-Series","August 19, 2018",25
"The Innocents (2018)","Netflix",": Season 1",,80,,"Drama","Science Fiction","August 24, 2018",47
"Mr. Mercedes","Audience Network,Audience",": Season 2",,83,6.8,"Drama","Suspense",,23
"One Dollar","CBS All Access",": Season 1",,77,7.6,"Drama","Suspense","August 30, 2018",24
"Bodyguard","Netflix,BB1",": Season 1",,91,7.1,"Drama","Suspense",,159
"Tom Clancy's Jack Ryan","Prime Video,AMAZON",": Season 1",,91,6.6,"Drama","Action & Adventure",,169
"Ozark","Netflix",": Season 2",59,91,8.2,"Drama",,"August 31, 2018",127
"Mayans M.C.","FX",": Season 1",57,83,,"Drama",,"September 4, 2018",61
"The Purge (2018)","USA",": Season 1",44,75,,"Drama","Action & Adventure","September 4, 2018",39
"Marvel's Iron Fist","Netflix",": Season 2",,,6.3,"Drama","Action & Adventure","September 7, 2018",157
"The Miniaturist","PBS",": Season 1",,80,,"Drama","Suspense","September 9, 2018",13
"The Deuce","HBO",": Season 2",,91,7.1,"Drama",,"September 9, 2018",60
"Kidding","SHOWTIME",": Season 1",,90,7.4,"Comedy","Drama","September 9, 2018",132
"The First","HULU",": Season 1",,91,6.5,"Drama","Science Fiction","September 14, 2018",78
"BoJack Horseman","Netflix",": Season 5",,91,8.9,"Comedy","Animation","September 14, 2018",235
"The Good Cop","Netflix",": Season 1",53,83,6.8,"Comedy","Drama","September 21, 2018",31
"Sorry for Your Loss","Facebook Watch",": Season 1",,80,7.1,"Drama",,"September 18, 2018",42
"Magnum P.I. (2018)","CBS",": Season 1",48,70,,"Drama","Action & Adventure","September 24, 2018",83
"Manifest","NBC",": Season 1",55,80,6.6,"Drama","Suspense","September 24, 2018",72
"FBI","CBS",": Season 1",57,83,,"Drama","Action & Adventure","September 25, 2018",46
"Mr Inbetween","FX",": Season 1",,83,7.9,"Drama",,"September 25, 2018",51
"Fahrenheit 451","HBO",": Season 1",47,90,,"Drama","Movie/Mini-Series","May 19, 2018",90
"Ozark","Netflix",": Season 1",,83,8.3,"Drama",,"July 21, 2017",418
"The Last Post","Amazon Prime",": Season 1",59,91,,"Drama",,"December 22, 2017",18
"Top Of The Lake","Sundance Channel,SundanceTV",": Season 2",,91,6.3,"Drama","Movie/Mini-Series",,55
"Midnight, Texas","NBC",": Season 1",50,83,6.3,"Drama","Action & Adventure","July 24, 2017",71
"Room 104","HBO",": Season 1",,83,,"Comedy","Drama","July 28, 2017",60
"The Last Tycoon","Amazon Prime",": Season 1",57,90,6.4,"Drama",,"July 28, 2017",52
"The Sinner","USA",": Season 1",,85,7.9,"Drama","Suspense","August 2, 2017",135
"Manhunt: Unabomber","Discovery Channel",": Season 1",,91,7.6,"Drama","Movie/Mini-Series","August 1, 2017",72
"Mr. Mercedes","Audience Network,Audience",": Season 1",,90,7.5,"Drama","Suspense",,87
"Comrade Detective","Amazon Prime",": Season 1",,85,7.8,"Comedy","Drama","August 4, 2017",49
"Atypical","Netflix",": Season 1",,90,8.6,"Comedy","Drama","August 11, 2017",181
"Get Shorty","Epix",": Season 1",,90,7.9,"Comedy","Drama","August 13, 2017",59
"Halt and Catch Fire","AMC",": Season 4",,90,8.2,"Drama",,"August 19, 2017",88
"Marvel's The Defenders","Netflix",": Season 1",,83,6.9,"Drama","Action & Adventure","August 18, 2017",448
"You're the Worst","FX,FXX",": Season 4",,91,7.8,"Comedy","Drama",,38
"Narcos","Netflix",": Season 3",,83,8.3,"Drama",,"September 1, 2017",170
"BoJack Horseman","Netflix",": Season 4",,90,8.7,"Comedy","Animation","September 8, 2017",288
"Outlander (2014)","Starz",": Season 3",,91,7.5,"Drama","Action & Adventure","September 10, 2017",79
"The Orville","FOX",": Season 1",,,8.3,"Comedy","Drama","September 10, 2017",1028
"The Deuce","HBO",": Season 1",,90,7.8,"Drama",,"September 10, 2017",197
"The State (2017)","National Geographic",": Season 1",,80,,"Drama","Movie/Mini-Series","September 18, 2017",13
"Transparent","Amazon Instant Video,AMAZON",": Season 4",,80,6.3,"Comedy","Drama",,42
"Star Trek: Discovery","CBS,CBS All Access",": Season 1",,90,,"Drama","Action & Adventure",,1311
"The Good Doctor","ABC",": Season 1",53,83,7.6,"Drama",,"September 25, 2017",143
"Law & Order True Crime: The Menendez Murders","NBC",": Season 1",57,80,6.5,"Drama",,"September 26, 2017",54
"The Brave","NBC",": Season 1",54,80,7.6,"Drama","Action & Adventure","September 25, 2017",84
"Liar","SundanceTV",": Season 1",,83,,"Drama","Suspense","September 27, 2017",26
"SEAL Team","CBS",": Season 1",57,70,,"Drama","Action & Adventure","September 27, 2017",78
"Marvel's Inhumans","ABC",": Season 1",,,,"Drama","Action & Adventure","September 29, 2017",192
"Wisdom of the Crowd","CBS",": Season 1",,63,,"Drama",,"October 1, 2017",61
"American Gods","Starz",": Season 1",,83,7.4,"Drama","Fantasy","April 30, 2017",389
"I Love Dick","Amazon Prime,Prime Video",": Season 1",,88,6.4,"Comedy","Drama",,68
"Sense8","Netflix",": Season 2",,90,8.4,"Drama","Science Fiction","May 5, 2017",174
"Twin Peaks","ABC,SHOWTIME",": Season 3",,90,8.6,"Drama","Suspense",,465
"The Wizard of Lies","HBO",": Season 1",,83,6.7,"Drama","Movie/Mini-Series","May 21, 2017",60
"Dirty Dancing (2017)",,": Season 1",,75,,"Drama","Movie/Mini-Series",,40
"House of Cards (2013)","Netflix",": Season 5",60,91,6.1,"Drama",,"May 30, 2017",229
"Still Star-Crossed","ABC",": Season 1",45,,,"Drama",,"May 29, 2017",32
"Daytime Divas","VH1",": Season 1",53,75,7.3,"Drama",,"June 5, 2017",12
"I'm Dying Up Here","FOX,SHOWTIME",": Season 1",,91,7.4,"Comedy","Drama",,60
"Orange is the New Black","Netflix",": Season 5",,90,6.5,"Comedy","Drama","June 9, 2017",201
"Claws","TNT",": Season 1",,80,6.5,"Comedy","Drama","June 11, 2017",56
"Orphan Black","BBC America",": Season 5",,91,7.8,"Drama","Science Fiction","June 10, 2017",63
"Blood Drive","Syfy",": Season 1",,83,6.3,"Drama","Action & Adventure","June 14, 2017",53
"Cardinal","CTV,HULU",": Season 1",,88,,"Drama","Suspense",,27
"Loch Ness","Acorn TV",": Season 1",,75,,"Drama","Suspense","June 19, 2017",20
"The Mist (2017)","Spike TV",": Season 1",54,90,,"Drama","Horror","June 22, 2017",150
"Prime Suspect: Tennison","PBS,ITV",": Season 1",59,91,7.1,"Drama",,,23
"Preacher","AMC",": Season 2",,83,7.5,"Drama","Action & Adventure","June 25, 2017",114
"Broadchurch","BBC America,ITV",": Season 3",,91,7.4,"Drama","Suspense",,70
"Gypsy (2017)","Netflix",": Season 1",45,83,8.2,"Drama",,"June 30, 2017",144
"Snowfall","FX",": Season 1",,91,6.4,"Drama",,"July 5, 2017",73
"Castlevania","Netflix",": Season 1",,80,7.8,"Animation","Drama","July 7, 2017",288
"Will","CBS,TNT",": Season 1",,83,,"Drama",,,53
"The Bold Type","Freeform",": Season 1",58,90,6.9,"Drama",,"July 11, 2017",63
"Salvation (2017)","CBS",": Season 1",48,80,6.9,"Drama","Action & Adventure","July 12, 2017",85
"Game of Thrones","HBO",": Season 7",,80,7.8,"Drama","Action & Adventure","July 16, 2017",1006
"Black Mirror","Channel 4,Netflix,Audience Network",": Season 4",,90,7.1,"Drama","Science Fiction",,286
"The X-Files","FOX",": Season 11",,83,7.4,"Drama","Action & Adventure","January 3, 2018",83
"9-1-1","FOX",": Season 1",60,90,6.4,"Drama","Action & Adventure","January 3, 2018",69
"The Chi","SHOWTIME",": Season 1",,91,,"Drama",,"January 7, 2018",73
"The End of the F***ing World","Netflix,CH4",": Season 1",,90,8,"Comedy","Drama",,409
"Philip K. Dick's Electric Dreams","Amazon Prime,Prime Video",": Season 1",,80,6.2,"Drama","Science Fiction",,88
"Black Lightning","The CW,CW",": Season 1",,83,,"Drama","Action & Adventure",,249
"The Assassination of Gianni Versace: American Crime Story","FX",": Season 1",,88,8.5,"Drama","Movie/Mini-Series","January 17, 2018",277
"The Resident","FOX",": Season 1",54,83,6.9,"Drama",,"January 21, 2018",55
"Counterpart","Starz",": Season 1",,91,7.4,"Drama","Suspense","January 21, 2018",137
"The Alienist","TNT",": Season 1",,80,6.3,"Drama","Suspense","January 22, 2018",126
"Mosaic","HBO",": Season 1",,85,6.1,"Drama","Movie/Mini-Series","January 22, 2018",53
"Waco","Paramount Network",": Season 1",56,80,,"Drama","Movie/Mini-Series","January 24, 2018",61
"Britannia","Prime Video,AMAZON",": Season 1",,75,,"Drama","Action & Adventure",,50
"Absentia","Amazon Prime,AXN,Prime Video",": Season 1",59,75,6.4,"Drama","Suspense",,29
"Altered Carbon","Netflix",": Season 1",,80,8,"Drama","Action & Adventure","February 2, 2018",686
"Here and Now","HBO",": Season 1",46,80,,"Drama",,"February 11, 2018",74
"Homeland","SHOWTIME",": Season 7",,91,7.3,"Drama","Suspense","February 11, 2018",56
